# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2019-03-05T00:00:00.0
# Date end (ISO 8601): 2019-03-22T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6440
# Longitude (positive East, ISO 19115): 113.6419
# Altitude (m): 728.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2024-11-18
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-03-05T09:45:00.0/2019-03-05T10:00:00.0;31.3542;9.1483;1.3928;7.7556;14.8647;6.4081;0.0882;6.3199;0.9414;0.5333
2019-03-05T10:00:00.0/2019-03-05T10:15:00.0;13.5257;3.1856;0.2246;2.9611;4.6224;2.2315;0.0142;2.2172;0.2927;0.5000
2019-03-05T10:15:00.0/2019-03-05T10:30:00.0;0.5510;0.1031;0.0006;0.1025;0.0000;0.0722;0.0000;0.0722;0.0000;0.8667
2019-03-05T10:30:00.0/2019-03-05T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T10:45:00.0/2019-03-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T11:00:00.0/2019-03-05T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T11:15:00.0/2019-03-05T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T11:30:00.0/2019-03-05T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T11:45:00.0/2019-03-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T12:00:00.0/2019-03-05T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T12:15:00.0/2019-03-05T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T12:30:00.0/2019-03-05T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T12:45:00.0/2019-03-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T13:00:00.0/2019-03-05T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T13:15:00.0/2019-03-05T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T13:30:00.0/2019-03-05T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T13:45:00.0/2019-03-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T14:00:00.0/2019-03-05T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T14:15:00.0/2019-03-05T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T14:30:00.0/2019-03-05T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T14:45:00.0/2019-03-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T15:00:00.0/2019-03-05T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T15:15:00.0/2019-03-05T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T15:30:00.0/2019-03-05T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T15:45:00.0/2019-03-05T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T16:00:00.0/2019-03-05T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T16:15:00.0/2019-03-05T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T16:30:00.0/2019-03-05T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T16:45:00.0/2019-03-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T17:00:00.0/2019-03-05T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T17:15:00.0/2019-03-05T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T17:30:00.0/2019-03-05T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T17:45:00.0/2019-03-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T18:00:00.0/2019-03-05T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T18:15:00.0/2019-03-05T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T18:30:00.0/2019-03-05T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T18:45:00.0/2019-03-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T19:00:00.0/2019-03-05T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T19:15:00.0/2019-03-05T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T19:30:00.0/2019-03-05T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T19:45:00.0/2019-03-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T20:00:00.0/2019-03-05T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T20:15:00.0/2019-03-05T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T20:30:00.0/2019-03-05T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T20:45:00.0/2019-03-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T21:00:00.0/2019-03-05T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T21:15:00.0/2019-03-05T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T21:30:00.0/2019-03-05T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T21:45:00.0/2019-03-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T22:00:00.0/2019-03-05T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T22:15:00.0/2019-03-05T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T22:30:00.0/2019-03-05T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-03-05T22:45:00.0/2019-03-05T23:00:00.0;1.2155;0.2793;0.0112;0.2681;0.0000;0.2793;0.0112;0.2681;0.0000;0.8333
2019-03-05T23:00:00.0/2019-03-05T23:15:00.0;15.6318;4.8480;0.8995;3.9485;17.4030;4.8480;0.8995;3.9485;17.4030;0.5000
2019-03-05T23:15:00.0/2019-03-05T23:30:00.0;33.4773;13.6488;4.6791;8.9697;46.9981;13.6488;4.6791;8.9697;46.9981;0.9667
2019-03-05T23:30:00.0/2019-03-05T23:45:00.0;51.0890;25.1829;11.6836;13.4992;78.3010;25.1829;11.6836;13.4992;78.3010;1.0000
2019-03-05T23:45:00.0/2019-03-06T00:00:00.0;68.3916;38.4859;21.3907;17.0952;107.6773;36.6601;19.0398;17.6203;96.6407;1.0000
2019-03-06T00:00:00.0/2019-03-06T00:15:00.0;85.3110;52.4751;32.6124;19.8627;132.0187;48.6580;27.4606;21.1973;110.2630;1.0000
2019-03-06T00:15:00.0/2019-03-06T00:30:00.0;101.7746;66.3709;44.0701;22.3009;149.6882;62.4344;38.7517;23.6827;131.4885;1.0000
2019-03-06T00:30:00.0/2019-03-06T00:45:00.0;117.7121;80.2243;55.9026;24.3217;164.2552;79.8681;55.3831;24.4850;162.7867;1.0000
2019-03-06T00:45:00.0/2019-03-06T01:00:00.0;133.0553;93.8364;67.8379;25.9985;176.3913;88.9304;60.5004;28.4300;157.2140;1.0000
2019-03-06T01:00:00.0/2019-03-06T01:15:00.0;147.7384;107.0590;79.6746;27.3844;186.6130;107.0078;79.5966;27.4111;186.4216;1.0000
2019-03-06T01:15:00.0/2019-03-06T01:30:00.0;161.6986;119.7736;91.2532;28.5204;195.3025;119.7736;91.2532;28.5204;195.3025;1.0000
2019-03-06T01:30:00.0/2019-03-06T01:45:00.0;174.8761;131.8817;102.4410;29.4406;202.7414;131.8817;102.4410;29.4406;202.7414;1.0000
2019-03-06T01:45:00.0/2019-03-06T02:00:00.0;187.2146;143.2988;113.1246;30.1742;209.1409;143.2988;113.1246;30.1742;209.1409;1.0000
2019-03-06T02:00:00.0/2019-03-06T02:15:00.0;198.6613;153.9520;123.2062;30.7458;214.6628;153.9520;123.2062;30.7458;214.6628;1.0000
2019-03-06T02:15:00.0/2019-03-06T02:30:00.0;209.1671;163.7780;132.6019;31.1761;219.4346;163.7780;132.6019;31.1761;219.4346;1.0000
2019-03-06T02:30:00.0/2019-03-06T02:45:00.0;218.6870;172.7215;141.2398;31.4818;223.5580;172.7215;141.2398;31.4818;223.5580;0.7000
2019-03-06T02:45:00.0/2019-03-06T03:00:00.0;227.1805;180.7346;149.0580;31.6767;227.1149;180.7346;149.0580;31.6767;227.1149;0.9667
2019-03-06T03:00:00.0/2019-03-06T03:15:00.0;234.6110;187.5811;155.6088;31.9723;229.5916;187.5811;155.6088;31.9723;229.5916;1.0000
2019-03-06T03:15:00.0/2019-03-06T03:30:00.0;240.9469;193.3159;160.9233;32.3927;231.1895;193.3159;160.9233;32.3927;231.1895;1.0000
2019-03-06T03:30:00.0/2019-03-06T03:45:00.0;246.1610;198.0504;165.3069;32.7436;232.4570;198.0504;165.3069;32.7436;232.4570;1.0000
2019-03-06T03:45:00.0/2019-03-06T04:00:00.0;250.2311;201.7238;168.6985;33.0253;233.3675;201.7238;168.6985;33.0253;233.3675;1.0000
2019-03-06T04:00:00.0/2019-03-06T04:15:00.0;253.1398;204.3179;171.0784;33.2395;233.9398;204.3179;171.0784;33.2395;233.9398;1.0000
2019-03-06T04:15:00.0/2019-03-06T04:30:00.0;254.8746;205.8202;172.4329;33.3873;234.1862;205.8202;172.4329;33.3873;234.1862;1.0000
2019-03-06T04:30:00.0/2019-03-06T04:45:00.0;255.4282;206.2235;172.7547;33.4689;234.1134;206.2235;172.7547;33.4689;234.1134;1.0000
2019-03-06T04:45:00.0/2019-03-06T05:00:00.0;254.7984;205.5263;172.0422;33.4841;233.7229;205.5263;172.0422;33.4841;233.7229;1.0000
2019-03-06T05:00:00.0/2019-03-06T05:15:00.0;252.9877;203.7324;170.3003;33.4320;233.0106;203.7324;170.3003;33.4320;233.0106;1.0000
2019-03-06T05:15:00.0/2019-03-06T05:30:00.0;250.0040;200.8510;167.5399;33.3111;231.9674;200.8510;167.5399;33.3111;231.9674;1.0000
2019-03-06T05:30:00.0/2019-03-06T05:45:00.0;245.8604;196.8971;163.7781;33.1191;230.5783;196.8971;163.7781;33.1191;230.5783;1.0000
2019-03-06T05:45:00.0/2019-03-06T06:00:00.0;240.5743;191.8909;159.0380;32.8529;228.8218;191.8909;159.0380;32.8529;228.8218;1.0000
2019-03-06T06:00:00.0/2019-03-06T06:15:00.0;234.1687;185.8178;153.2233;32.5945;226.4820;185.8178;153.2233;32.5945;226.4820;1.0000
2019-03-06T06:15:00.0/2019-03-06T06:30:00.0;226.6711;178.7087;146.3749;32.3337;223.5117;178.7087;146.3749;32.3337;223.5117;1.0000
2019-03-06T06:30:00.0/2019-03-06T06:45:00.0;218.1135;170.6407;138.6658;31.9750;220.0425;170.6407;138.6658;31.9750;220.0425;1.0000
2019-03-06T06:45:00.0/2019-03-06T07:00:00.0;208.5328;161.6571;130.1490;31.5081;216.0101;161.6571;130.1490;31.5081;216.0101;1.0000
2019-03-06T07:00:00.0/2019-03-06T07:15:00.0;197.9701;151.8075;120.8867;30.9207;211.3348;151.8075;120.8867;30.9207;211.3348;1.0000
2019-03-06T07:15:00.0/2019-03-06T07:30:00.0;186.4706;141.1487;110.9513;30.1974;205.9176;141.1487;110.9513;30.1974;205.9176;1.0000
2019-03-06T07:30:00.0/2019-03-06T07:45:00.0;174.0837;129.7459;100.4266;29.3193;199.6341;129.2673;99.6218;29.6455;197.9826;1.0000
2019-03-06T07:45:00.0/2019-03-06T08:00:00.0;160.8626;117.6738;89.4101;28.2638;192.3257;109.9744;76.6021;33.3723;164.7500;1.0000
