# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-06-30T00:00:00.0
# Date end (ISO 8601): 2019-06-14T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6440
# Longitude (positive East, ISO 19115): 113.6419
# Altitude (m): 614.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2024-11-16
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;
TOA; Clear_sky_GHI;Clear_sky_BHI;Clear_sky_DHI;Clear_sky_BNI;GHI;BHI;DHI;BNI;Reliability
2018-06-30T09:45:00.0/2018-06-30T10:00:00.0;115.8889;49.0462;10.9218;38.1244;30.9762;14.3462;0.0195;14.3267;0.0528;1.0000
2018-06-30T10:00:00.0/2018-06-30T10:15:00.0;100.1220;39.5129;7.8280;31.6849;25.6768;13.8536;0.0103;13.8433;0.0350;1.0000
2018-06-30T10:15:00.0/2018-06-30T10:30:00.0;84.2573;30.6642;5.2282;25.4360;20.3506;14.5171;0.0303;14.4868;0.1169;1.0000
2018-06-30T10:30:00.0/2018-06-30T10:45:00.0;68.3627;22.6474;3.1669;19.4805;15.1571;9.3940;0.0006;9.3934;0.0026;1.0000
2018-06-30T10:45:00.0/2018-06-30T11:00:00.0;52.5063;15.5878;1.6592;13.9287;10.2901;6.2677;0.0376;6.2301;0.2590;1.0000
2018-06-30T11:00:00.0/2018-06-30T11:15:00.0;36.7559;9.5790;0.6808;8.8982;5.9578;5.0789;0.0427;5.0362;0.3446;1.0000
2018-06-30T11:15:00.0/2018-06-30T11:30:00.0;21.1790;4.6951;0.1631;4.5319;2.3422;1.2940;0.0000;1.2940;0.0000;0.5333
2018-06-30T11:30:00.0/2018-06-30T11:45:00.0;5.9390;1.0837;0.0054;1.0783;0.1447;0.2987;0.0000;0.2987;0.0000;0.5333
2018-06-30T11:45:00.0/2018-06-30T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T12:00:00.0/2018-06-30T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T12:15:00.0/2018-06-30T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T12:30:00.0/2018-06-30T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T12:45:00.0/2018-06-30T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T13:00:00.0/2018-06-30T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T13:15:00.0/2018-06-30T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T13:30:00.0/2018-06-30T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T13:45:00.0/2018-06-30T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T14:00:00.0/2018-06-30T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T14:15:00.0/2018-06-30T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T14:30:00.0/2018-06-30T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T14:45:00.0/2018-06-30T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T15:00:00.0/2018-06-30T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T15:15:00.0/2018-06-30T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T15:30:00.0/2018-06-30T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T15:45:00.0/2018-06-30T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T16:00:00.0/2018-06-30T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T16:15:00.0/2018-06-30T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T16:30:00.0/2018-06-30T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T16:45:00.0/2018-06-30T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T17:00:00.0/2018-06-30T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T17:15:00.0/2018-06-30T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T17:30:00.0/2018-06-30T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T17:45:00.0/2018-06-30T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T18:00:00.0/2018-06-30T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T18:15:00.0/2018-06-30T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T18:30:00.0/2018-06-30T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T18:45:00.0/2018-06-30T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T19:00:00.0/2018-06-30T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T19:15:00.0/2018-06-30T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T19:30:00.0/2018-06-30T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T19:45:00.0/2018-06-30T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T20:00:00.0/2018-06-30T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T20:15:00.0/2018-06-30T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T20:30:00.0/2018-06-30T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T20:45:00.0/2018-06-30T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T21:00:00.0/2018-06-30T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-30T21:15:00.0/2018-06-30T21:30:00.0;7.4715;1.5476;0.0448;1.5028;1.1852;1.5476;0.0448;1.5028;1.1852;0.5333
2018-06-30T21:30:00.0/2018-06-30T21:45:00.0;22.8649;5.8952;0.5481;5.3471;7.4524;5.8952;0.5481;5.3471;7.4524;0.5000
2018-06-30T21:45:00.0/2018-06-30T22:00:00.0;38.4636;11.9458;1.9756;9.9702;16.5649;11.9458;1.9756;9.9702;16.5649;0.9667
2018-06-30T22:00:00.0/2018-06-30T22:15:00.0;54.2282;19.6199;4.6144;15.0056;27.7319;19.6199;4.6144;15.0056;27.7319;1.0000
2018-06-30T22:15:00.0/2018-06-30T22:30:00.0;70.0914;28.7608;8.5925;20.1684;40.1279;28.7608;8.5925;20.1684;40.1279;1.0000
2018-06-30T22:30:00.0/2018-06-30T22:45:00.0;85.9853;39.1529;13.9132;25.2397;53.0832;39.1529;13.9132;25.2397;53.0832;1.0000
2018-06-30T22:45:00.0/2018-06-30T23:00:00.0;101.8417;50.5487;20.4891;30.0597;66.0840;50.5487;20.4891;30.0597;66.0840;1.0000
2018-06-30T23:00:00.0/2018-06-30T23:15:00.0;117.5927;62.6984;28.1778;34.5206;78.7699;62.6984;28.1778;34.5206;78.7699;1.0000
2018-06-30T23:15:00.0/2018-06-30T23:30:00.0;133.1710;75.4551;37.1234;38.3318;91.6679;75.4551;37.1234;38.3318;91.6679;1.0000
2018-06-30T23:30:00.0/2018-06-30T23:45:00.0;148.5098;88.6086;47.2461;41.3625;104.6556;88.6086;47.2461;41.3625;104.6556;1.0000
2018-06-30T23:45:00.0/2018-07-01T00:00:00.0;163.5434;101.8714;58.0229;43.8485;116.7438;101.8714;58.0229;43.8485;116.7438;1.0000
2018-07-01T00:00:00.0/2018-07-01T00:15:00.0;178.2075;114.6169;68.1690;46.4479;125.9213;114.6169;68.1690;46.4479;125.9213;1.0000
2018-07-01T00:15:00.0/2018-07-01T00:30:00.0;192.4393;126.6939;77.3248;49.3692;132.2822;126.6939;77.3248;49.3692;132.2822;1.0000
2018-07-01T00:30:00.0/2018-07-01T00:45:00.0;206.1778;138.4698;86.3820;52.0878;137.9388;138.4698;86.3820;52.0878;137.9388;1.0000
2018-07-01T00:45:00.0/2018-07-01T01:00:00.0;219.3642;149.8625;95.2484;54.6141;142.9614;149.8625;95.2484;54.6141;142.9614;1.0000
2018-07-01T01:00:00.0/2018-07-01T01:15:00.0;231.9419;160.7974;103.8399;56.9574;147.4106;160.7974;103.8399;56.9574;147.4106;1.0000
2018-07-01T01:15:00.0/2018-07-01T01:30:00.0;243.8571;171.2066;112.0801;59.1265;151.3386;171.2066;112.0801;59.1265;151.3386;1.0000
2018-07-01T01:30:00.0/2018-07-01T01:45:00.0;255.0589;181.0285;119.8992;61.1293;154.7900;181.0285;119.8992;61.1293;154.7900;1.0000
2018-07-01T01:45:00.0/2018-07-01T02:00:00.0;265.4991;190.2067;127.2339;62.9728;157.8029;190.2067;127.2339;62.9728;157.8029;1.0000
2018-07-01T02:00:00.0/2018-07-01T02:15:00.0;275.1331;198.6906;134.0271;64.6635;160.4100;198.6906;134.0271;64.6635;160.4100;1.0000
2018-07-01T02:15:00.0/2018-07-01T02:30:00.0;283.9196;206.4344;140.2275;66.2069;162.6390;206.4344;140.2275;66.2069;162.6390;1.0000
2018-07-01T02:30:00.0/2018-07-01T02:45:00.0;291.8209;213.3976;145.7900;67.6077;164.5138;213.3976;145.7900;67.6077;164.5138;0.7000
2018-07-01T02:45:00.0/2018-07-01T03:00:00.0;298.8032;219.5444;150.6748;68.8696;166.0542;219.5444;150.6748;68.8696;166.0542;0.9667
2018-07-01T03:00:00.0/2018-07-01T03:15:00.0;304.8365;224.8249;154.7872;70.0378;167.2112;224.8249;154.7872;70.0378;167.2112;1.0000
2018-07-01T03:15:00.0/2018-07-01T03:30:00.0;309.8952;229.2124;158.0965;71.1159;167.9991;229.2124;158.0965;71.1159;167.9991;1.0000
2018-07-01T03:30:00.0/2018-07-01T03:45:00.0;313.9573;232.7029;160.6397;72.0631;168.4934;232.7029;160.6397;72.0631;168.4934;1.0000
2018-07-01T03:45:00.0/2018-07-01T04:00:00.0;317.0055;235.2782;162.3991;72.8792;168.7012;235.2782;162.3991;72.8792;168.7012;1.0000
2018-07-01T04:00:00.0/2018-07-01T04:15:00.0;319.0268;236.9257;163.3844;73.5413;168.6495;236.9257;163.3844;73.5413;168.6495;1.0000
2018-07-01T04:15:00.0/2018-07-01T04:30:00.0;320.0124;237.6399;163.6866;73.9533;168.4410;237.6399;163.6866;73.9533;168.4410;1.0000
2018-07-01T04:30:00.0/2018-07-01T04:45:00.0;319.9582;237.4122;163.2012;74.2110;167.9697;237.4122;163.2012;74.2110;167.9697;1.0000
2018-07-01T04:45:00.0/2018-07-01T05:00:00.0;318.8643;236.2423;161.9140;74.3283;167.2163;236.2423;161.9140;74.3283;167.2163;1.0000
2018-07-01T05:00:00.0/2018-07-01T05:15:00.0;316.7354;234.1355;159.8347;74.3009;166.1778;233.8060;158.6607;75.1453;164.9528;1.0000
2018-07-01T05:15:00.0/2018-07-01T05:30:00.0;313.5806;231.1019;156.9781;74.1237;164.8491;226.3852;140.2208;86.1644;147.2613;1.0000
2018-07-01T05:30:00.0/2018-07-01T05:45:00.0;309.4134;227.1558;153.3649;73.7909;163.2228;227.1108;153.2054;73.9054;163.0542;1.0000
2018-07-01T05:45:00.0/2018-07-01T06:00:00.0;304.2516;222.3165;149.0208;73.2956;161.2891;222.3165;149.0208;73.2956;161.2891;1.0000
2018-07-01T06:00:00.0/2018-07-01T06:15:00.0;298.1173;216.6513;144.0654;72.5859;159.1330;216.6513;144.0654;72.5859;159.1330;1.0000
2018-07-01T06:15:00.0/2018-07-01T06:30:00.0;291.0367;210.1870;138.5306;71.6564;156.7403;210.1870;138.5306;71.6564;156.7403;1.0000
2018-07-01T06:30:00.0/2018-07-01T06:45:00.0;283.0403;202.9112;132.3671;70.5441;153.9958;193.5975;107.1577;86.4398;124.5252;1.0000
2018-07-01T06:45:00.0/2018-07-01T07:00:00.0;274.1621;194.8610;125.6218;69.2392;150.8786;192.5250;119.3343;73.1908;143.4164;1.0000
2018-07-01T07:00:00.0/2018-07-01T07:15:00.0;264.4402;186.0789;118.3477;67.7312;147.3647;174.1389;89.9097;84.2292;111.7330;1.0000
2018-07-01T07:15:00.0/2018-07-01T07:30:00.0;253.9162;176.6130;110.6043;66.0086;143.4274;173.6350;103.5634;70.0716;134.4335;1.0000
2018-07-01T07:30:00.0/2018-07-01T07:45:00.0;242.6351;166.5174;102.4581;64.0593;139.0367;166.5174;102.4581;64.0593;139.0367;1.0000
2018-07-01T07:45:00.0/2018-07-01T08:00:00.0;230.6453;155.8526;93.9822;61.8705;134.1592;155.8526;93.9822;61.8705;134.1592;1.0000
